項目,100,100比例,100排名,101,101比例,101排名,102,102比例,102排名,103,103比例,103排名
土地稅,9449384,7.71,6,10147500,7.24,6,11267196,7.99,6,9970676,6.54,6
房屋稅,4767372,10.03,5,4942376,9.63,5,5333333,10.01,5,5204081,9.84,5
使用牌照稅,4649588,8.54,6,4824588,8.52,6,5124028,8.85,6,5071169,8.71,6
契稅,848952,8.09,5,848952,7.55,5,900000,9.75,5,812658,8.59,5
印花稅,400353,4.5,6,400353,4.19,6,430000,4.53,6,421337,4.34,6
娛樂稅,127490,11.84,5,127490,12.25,4,150000,13.12,4,108711,11.2,5
遺產及贈與稅,633668,6.7,5,1233668,11.06,4,955607,8.89,5,664075,6.18,5
菸酒稅,723017,7.26,7,721181,7.31,7,720646,7.31,7,719938,7.3,7
統籌分配稅,14045315,8.74,5,15516507,8.83,5,15907132,8.37,5,16578022,8.69,5
工程受益費收入,0,0,3,0,0,3,0,0,3,0,0,3
罰金罰鍰及怠金,428297,3.08,8,419965,2.87,8,636521,4.22,7,769240,5.06,6
沒入及沒收財物,20,0.06,9,20,0.06,10,50,0.15,8,50,0.15,10
賠償收入,165,0.08,18,2086,0.82,10,2792,1.05,11,4817,1.64,11
行政規費收入,481098,5.09,6,471692,5.05,6,472194,5.08,6,488441,5.16,6
使用規費收入,1901621,7.58,3,1906032,7.88,3,1942529,7.97,3,1781371,7.27,4
信託管理收入,0,0,7,0,0,7,0,0,7,0,0,6
財產孳息,121468,3.48,6,146540,2.34,6,589069,6.95,4,1296794,8.64,2
財產售價,0,0,21,3700000,21.29,1,2200000,14.14,3,2000000,21.54,2
財產作價,0,0,4,5238589,95.94,1,6684000,39.61,2,0,0,4
投資收回,14425,0.37,5,21647,0.86,2,1574443,71.86,1,1623457,98.99,1
廢舊物資售價,46654,5.61,2,48825,5.81,2,64982,6.93,2,84084,9.74,2
營業基金盈餘繳庫,361,0.01,9,361,0.03,7,0,0,9,0,0,11
非營業特種基金賸餘繳庫,2062679,7.06,4,2342654,6.26,6,1528442,3.97,9,944070,2.86,10
投資收益,0,0,8,79,0,5,79,0.01,7,79,0.01,6
上級政府補助收入,32764102,8.34,4,29745218,8.6,4,28261781,9.26,2,23808684,7.91,4
地方政府協助收入,0,0,7,0,0,4,0,0,5,0,0,6
捐獻收入,88537,1.42,6,84260,1,10,77387,0.82,11,226467,2.29,6
贈與收入,0,0,5,0,0,5,0,0,5,0,0,5
自治稅捐收入,0,0,5,0,0,5,0,0,6,0,,1
特別稅課,0,0,4,0,0,4,0,0,5,0,0,5
臨時稅課,0,0,2,0,0,2,0,0,2,0,0,2
附加稅課,0,,1,0,,1,0,,1,0,,1
學雜費收入,0,0,8,0,0,5,0,0,3,0,0,3
雜項收入,480184,3.31,6,696969,4.24,5,2104155,10.78,4,721064,4.4,5
小計[income],74034750,,,83587552,,,86926366,,,73299285,,
政權行使支出,676688,8.02,5,663830,8.24,5,623988,7.67,6,616252,8.1,6
行政支出,751146,6.12,5,770919,6.21,5,739155,5.96,5,669447,5.07,7
民政支出,7463879,10.04,5,12740510,14.81,2,11920871,14.65,2,7682314,9.63,5
財務支出,765787,6.93,5,755212,6.97,5,778786,7.62,5,707473,6.92,5
教育支出,24420683,8.09,5,26398119,8.4,5,27785918,8.72,5,26094818,8.06,6
科學支出,0,0,2,0,0,2,0,0,2,0,0,2
文化支出,1008869,5.15,5,1041933,4.66,5,1379086,5.46,5,3197290,10.32,4
農業支出,4488799,12.23,3,3740849,12.06,3,7480375,21.14,1,5170800,15.39,1
工業支出,120890,1.78,11,128122,1.76,11,159370,0.87,12,481919,2.81,7
交通支出,5548994,6.59,5,4822175,6.63,5,8236142,10.45,5,7588485,8.87,5
其他經濟服務支出,1082650,5.61,9,1332823,7.44,5,975661,5.89,8,1129542,6.12,8
社會保險支出,7157413,11.37,4,8608281,14.49,3,639120,1.89,6,630390,1.89,6
社會救助支出,697613,2.33,6,767948,2.42,7,957275,2.7,6,1012352,5.24,5
福利服務支出,6565561,8.47,3,6651000,8.61,4,6168684,9.17,4,6839946,7.99,4
國民就業支出,293115,21.5,2,96297,9.72,4,90992,8.87,4,99085,8.82,4
醫療保健支出,1049335,6.53,4,1186780,6.94,4,1351524,7.58,4,1109948,6.05,4
社區發展支出,359554,3.62,7,448430,4.27,7,464669,4.61,6,226308,3.28,9
環境保護支出,2875681,5.04,5,2860901,5.34,5,2738034,5.79,5,2759669,5.66,5
退休撫卹給付支出,4042827,5.35,8,4508855,5.48,8,4961967,5.98,6,4655941,5.84,8
退休撫卹業務支出,0,0,2,0,0,2,0,0,2,0,0,2
警政支出,6085174,7.3,5,6532375,7.46,5,6421012,7.45,5,6575229,7.55,5
債務付息支出,934000,7.64,4,1521118,10.87,3,1340667,11.31,2,1221437,9.23,3
還本付息事務支出,0,0,3,0,0,3,0,0,3,0,0,3
專案補助支出,0,0,9,0,0,9,0,0,10,0,0,10
平衡預算補助支出,0,0,4,0,0,4,0,0,4,0,0,4
協助支出,0,,1,0,,1,0,,1,0,,1
第二預備金,400000,5.97,6,400000,6.44,6,400000,6.81,6,400000,7.47,6
其他支出,1095901,6.88,5,1256640,7.38,6,1313070,6.97,6,1230640,6.92,6
小計[expense],77884559,,,87233117,,,86926366,,,80099285,,
結餘,-3849809,,,-3645565,,,0,,,-6800000,,
